locus tag	organism	symbol	Gene ID	PFAM
SAOUHSC_00076	S. aureus NCTC8325	SAOUHSC_00076	3919454	OCD_Mu_crystall
SAOUHSC_00077	S. aureus NCTC8325	SAOUHSC_00077	3919455	IucA_IucC
SAOUHSC_00078	S. aureus NCTC8325	SAOUHSC_00078	3919456	MFS_1
SAOUHSC_00079	S. aureus NCTC8325	SAOUHSC_00079	3919457	IucA_IucC
SAOUHSC_00080	S. aureus NCTC8325	SAOUHSC_00080	3919458	IucA_IucC
SAOUHSC_00081	S. aureus NCTC8325	SAOUHSC_00081	3919459	HpcH_HpaI
SAOUHSC_00082	S. aureus NCTC8325	SAOUHSC_00082	3919460	Orn_Arg_deC_N
SAOUHSC_00083	S. aureus NCTC8325	SAOUHSC_00083	3919461	ParBc
SAOUHSC_A00084	S. aureus NCTC8325	SAOUHSC_A00084	3921319	DUF3339
S33	S. aureus NCTC8325	S33		
SAOUHSC_00084	S. aureus NCTC8325	SAOUHSC_00084	3919462	Reticulon
SAOUHSC_00085	S. aureus NCTC8325	SAOUHSC_00085	3919463	DUF2448
SAOUHSC_00086	S. aureus NCTC8325	SAOUHSC_00086	3919464	adh_short_C2
SAOUHSC_00087	S. aureus NCTC8325	SAOUHSC_00087	3919465	
SAOUHSC_00088	S. aureus NCTC8325	SAOUHSC_00088	3919466	Epimerase
SAOUHSC_00089	S. aureus NCTC8325	SAOUHSC_00089	3919800	Bac_transf
SAOUHSC_00090	S. aureus NCTC8325	SAOUHSC_00090	3919801	Glycos_transf_1
SAOUHSC_00091	S. aureus NCTC8325	SAOUHSC_00091	3919802	Wzy_C
SAOUHSC_00092	S. aureus NCTC8325	SAOUHSC_00092	3919803	Polysacc_synt
SAOUHSC_00093	S. aureus NCTC8325	SAOUHSC_00093	3919804	Sod_Fe_C
SAOUHSC_00094	S. aureus NCTC8325	SAOUHSC_00094	3919805	
S34	S. aureus NCTC8325	S34		
SAOUHSC_00096	S. aureus NCTC8325	SAOUHSC_00096	3919806	GntR
SAOUHSC_A00097	S. aureus NCTC8325	SAOUHSC_A00097	3921320	
SAOUHSC_00097	S. aureus NCTC8325	SAOUHSC_00097	3919807	PNP_UDP_1
SAOUHSC_00099	S. aureus NCTC8325	SAOUHSC_00099	3919808	MFS_1
SAOUHSC_00100	S. aureus NCTC8325	SAOUHSC_00100	3919809	DeoC
SAOUHSC_00101	S. aureus NCTC8325	SAOUHSC_00101	3919810	Metalloenzyme
SAOUHSC_00102	S. aureus NCTC8325	SAOUHSC_00102	3919811	BPD_transp_1
SAOUHSC_00103	S. aureus NCTC8325	SAOUHSC_00103	3919812	BPD_transp_1
SAOUHSC_00104	S. aureus NCTC8325	SAOUHSC_00104	3919813	ABC_tran
SAOUHSC_00105	S. aureus NCTC8325	SAOUHSC_00105	3919814	Phosphonate-bd
SAOUHSC_00106	S. aureus NCTC8325	SAOUHSC_00106	3919815	ABC_transp_aux
SAOUHSC_00107	S. aureus NCTC8325	SAOUHSC_00107	3919816	5_nucleotid_C
SAOUHSC_00108	S. aureus NCTC8325	SAOUHSC_00108	3919817	
SAOUHSC_00109	S. aureus NCTC8325	SAOUHSC_00109	3919818	Rep_trans
SAOUHSC_00110	S. aureus NCTC8325	SAOUHSC_00110	3919819	
SAOUHSC_00111	S. aureus NCTC8325	SAOUHSC_00111	3919820	DUF997
S35	S. aureus NCTC8325	S35		
SAOUHSC_00112	S. aureus NCTC8325	SAOUHSC_00112	3919821	
SAOUHSC_00113	S. aureus NCTC8325	SAOUHSC_00113	3919822	Fe-ADH
S36	S. aureus NCTC8325	S36		
S37	S. aureus NCTC8325	S37		
SAOUHSC_00114	S. aureus NCTC8325	SAOUHSC_00114	3919823	Wzz
SAOUHSC_00115	S. aureus NCTC8325	SAOUHSC_00115	3919824	AAA_31
SAOUHSC_00116	S. aureus NCTC8325	SAOUHSC_00116	3919825	PHP
SAOUHSC_00117	S. aureus NCTC8325	SAOUHSC_00117	3919826	Polysacc_synt_2
SAOUHSC_00118	S. aureus NCTC8325	SAOUHSC_00118	3919827	Polysacc_synt_2
SAOUHSC_00119	S. aureus NCTC8325	SAOUHSC_00119	3919828	Epimerase
SAOUHSC_00120	S. aureus NCTC8325	SAOUHSC_00120	3919829	Epimerase_2
SAOUHSC_00121	S. aureus NCTC8325	SAOUHSC_00121	3919830	Hexapep
SAOUHSC_00122	S. aureus NCTC8325	SAOUHSC_00122	3919831	Glyco_transf_4
SAOUHSC_00123	S. aureus NCTC8325	SAOUHSC_00123	3919832	Wzy_C
SAOUHSC_00124	S. aureus NCTC8325	SAOUHSC_00124	3919833	
SAOUHSC_00125	S. aureus NCTC8325	SAOUHSC_00125	3919834	Glycos_transf_1
SAOUHSC_00126	S. aureus NCTC8325	SAOUHSC_00126	3919835	Bac_transf
SAOUHSC_00127	S. aureus NCTC8325	SAOUHSC_00127	3919836	Epimerase
SAOUHSC_00128	S. aureus NCTC8325	SAOUHSC_00128	3919837	UDPG_MGDP_dh_N
S38	S. aureus NCTC8325	S38		
SAOUHSC_00129	S. aureus NCTC8325	SAOUHSC_00129	3919838	Epimerase_2
SAOUHSC_00130	S. aureus NCTC8325	SAOUHSC_00130	3919839	ABM
SAOUHSC_00131	S. aureus NCTC8325	SAOUHSC_00131	3919840	DUF454
S39	S. aureus NCTC8325	S39		
S40	S. aureus NCTC8325	S40		
SAOUHSC_00132	S. aureus NCTC8325	SAOUHSC_00132	3919841	Aldedh
S41	S. aureus NCTC8325	S41		
S42	S. aureus NCTC8325	S42		
S43	S. aureus NCTC8325	S43		
SAOUHSC_00133	S. aureus NCTC8325	SAOUHSC_00133	3919842	Cation_efflux
SAOUHSC_00134	S. aureus NCTC8325	SAOUHSC_00134	3919843	
SAOUHSC_00135	S. aureus NCTC8325	SAOUHSC_00135	3919844	DUF4242
S44	S. aureus NCTC8325	S44		
SAOUHSC_00136	S. aureus NCTC8325	SAOUHSC_00136	3919845	ABC_tran
SAOUHSC_00137	S. aureus NCTC8325	SAOUHSC_00137	3919846	NMT1_2
SAOUHSC_00138	S. aureus NCTC8325	SAOUHSC_00138	3919847	BPD_transp_1
SAOUHSC_00139	S. aureus NCTC8325	SAOUHSC_00139	3919848	Acyl-CoA_dh_M
S45	S. aureus NCTC8325	S45		
SAOUHSC_00141	S. aureus NCTC8325	SAOUHSC_00141	3919849	DUF2294
S46	S. aureus NCTC8325	S46		
SAOUHSC_00142	S. aureus NCTC8325	SAOUHSC_00142	3919850	2-Hacid_dh_C
S47	S. aureus NCTC8325	S47		
S48	S. aureus NCTC8325	S48		
SAOUHSC_00143	S. aureus NCTC8325	SAOUHSC_00143	3919851	MFS_1
S49	S. aureus NCTC8325	S49		
SAOUHSC_00144	S. aureus NCTC8325	SAOUHSC_00144	3919852	AMP-binding
SAOUHSC_00145	S. aureus NCTC8325	SAOUHSC_00145	3919853	ACPS
SAOUHSC_00146	S. aureus NCTC8325	SAOUHSC_00146	3919854	DUF1440
SAOUHSC_00147	S. aureus NCTC8325	SAOUHSC_00147	3919855	AA_kinase
SAOUHSC_00148	S. aureus NCTC8325	argJ	3919856	ArgJ
SAOUHSC_00149	S. aureus NCTC8325	argC	3919857	Semialdhyde_dhC
SAOUHSC_00150	S. aureus NCTC8325	SAOUHSC_00150	3919858	Aminotran_3
SAOUHSC_00151	S. aureus NCTC8325	SAOUHSC_00151	3919859	Branch_AA_trans
SAOUHSC_00152	S. aureus NCTC8325	SAOUHSC_00152	3919860	Isochorismatase
S50	S. aureus NCTC8325	S50		
SAOUHSC_00153	S. aureus NCTC8325	SAOUHSC_00153	3919861	TPP_enzyme_N
SAOUHSC_00154	S. aureus NCTC8325	SAOUHSC_00154	3919862	
SAOUHSC_00155	S. aureus NCTC8325	SAOUHSC_00155	3919863	PTS_EIIC
S51	S. aureus NCTC8325	S51		
S52	S. aureus NCTC8325	S52		
SAOUHSC_00156	S. aureus NCTC8325	SAOUHSC_00156	3919864	DUF871
SAOUHSC_00157	S. aureus NCTC8325	murQ	3919865	SIS_2
SAOUHSC_00158	S. aureus NCTC8325	SAOUHSC_00158	3919866	PTS_EIIC
SAOUHSC_00160	S. aureus NCTC8325	SAOUHSC_00160	3919867	HTH_6
S53	S. aureus NCTC8325	S53		
SAOUHSC_00161	S. aureus NCTC8325	SAOUHSC_00161	3919868	DUF3341
SAOUHSC_00162	S. aureus NCTC8325	SAOUHSC_00162	3919869	EcoR124_C
SAOUHSC_00163	S. aureus NCTC8325	SAOUHSC_00163	3919870	TPP1
SAOUHSC_00164	S. aureus NCTC8325	SAOUHSC_00164	3919871	Beta_protein
SAOUHSC_00166	S. aureus NCTC8325	SAOUHSC_00166	3919872	RES
S54	S. aureus NCTC8325	S54		
SAOUHSC_00167	S. aureus NCTC8325	SAOUHSC_00167	3919873	ABC_tran
SAOUHSC_00168	S. aureus NCTC8325	SAOUHSC_00168	3919874	BPD_transp_1
SAOUHSC_00169	S. aureus NCTC8325	SAOUHSC_00169	3919875	BPD_transp_1
SAOUHSC_00170	S. aureus NCTC8325	SAOUHSC_00170	3919876	SBP_bac_5
SAOUHSC_00171	S. aureus NCTC8325	SAOUHSC_00171	3919877	G_glu_transpept
S55	S. aureus NCTC8325	S55		
SAOUHSC_00172	S. aureus NCTC8325	SAOUHSC_00172	3919486	DUF576
SAOUHSC_00173	S. aureus NCTC8325	SAOUHSC_00173	3919487	Flavodoxin_2
SAOUHSC_00174	S. aureus NCTC8325	SAOUHSC_00174	3919488	Peptidase_M23
SAOUHSC_00175	S. aureus NCTC8325	SAOUHSC_00175	3919489	ABC_tran
SAOUHSC_00176	S. aureus NCTC8325	SAOUHSC_00176	3919490	SBP_bac_8
SAOUHSC_00177	S. aureus NCTC8325	SAOUHSC_00177	3919491	BPD_transp_1
SAOUHSC_00178	S. aureus NCTC8325	SAOUHSC_00178	3919492	BPD_transp_1
S56	S. aureus NCTC8325	S56		
SAOUHSC_00179	S. aureus NCTC8325	SAOUHSC_00179	3919493	GFO_IDH_MocA
SAOUHSC_00180	S. aureus NCTC8325	SAOUHSC_00180	3919494	GFO_IDH_MocA
SAOUHSC_00181	S. aureus NCTC8325	SAOUHSC_00181	3919495	AP_endonuc_2
S57	S. aureus NCTC8325	S57		
SAOUHSC_00182	S. aureus NCTC8325	SAOUHSC_00182	3919496	ICMT
SAOUHSC_00183	S. aureus NCTC8325	uhpT	3919497	MFS_1
S58	S. aureus NCTC8325	RsaG		
SAOUHSC_00184	S. aureus NCTC8325	SAOUHSC_00184	3919498	Response_reg
SAOUHSC_00185	S. aureus NCTC8325	SAOUHSC_00185	3919499	His_kinase
SAOUHSC_00186	S. aureus NCTC8325	SAOUHSC_00186	3919500	SBP_bac_11
S59	S. aureus NCTC8325	S59		
SAOUHSC_00187	S. aureus NCTC8325	SAOUHSC_00187	3919501	PFL-like
SAOUHSC_00188	S. aureus NCTC8325	SAOUHSC_00188	3919502	Radical_SAM
SAOUHSC_00189	S. aureus NCTC8325	SAOUHSC_00189	3919503	
SAOUHSC_00190	S. aureus NCTC8325	SAOUHSC_00190	3919504	GPDPase_memb
S60	S. aureus NCTC8325	S60		
SAOUHSC_00191	S. aureus NCTC8325	SAOUHSC_00191	3919505	CompInhib_SCIN
SAOUHSC_00192	S. aureus NCTC8325	SAOUHSC_00192	3920348	Coagulase
S61	S. aureus NCTC8325	S61		
S62	S. aureus NCTC8325	S62		
SAOUHSC_00193	S. aureus NCTC8325	SAOUHSC_00193	3920349	
SAOUHSC_00194	S. aureus NCTC8325	SAOUHSC_00194	3920350	
S63	S. aureus NCTC8325	S63		
SAOUHSC_00195	S. aureus NCTC8325	SAOUHSC_00195	3920351	Thiolase_N
SAOUHSC_00196	S. aureus NCTC8325	SAOUHSC_00196	3920352	3HCDH_N
S64	S. aureus NCTC8325	S64		
SAOUHSC_00197	S. aureus NCTC8325	SAOUHSC_00197	3920353	Acyl-CoA_dh_1
S65	S. aureus NCTC8325	S65		
SAOUHSC_00198	S. aureus NCTC8325	SAOUHSC_00198	3920354	AMP-binding
SAOUHSC_00199	S. aureus NCTC8325	SAOUHSC_00199	3920355	CoA_trans
S66	S. aureus NCTC8325	S66		
SAOUHSC_00200	S. aureus NCTC8325	SAOUHSC_00200	3920356	PrsW-protease
SAOUHSC_00201	S. aureus NCTC8325	SAOUHSC_00201	3920357	SBP_bac_5
S67	S. aureus NCTC8325	S67		
SAOUHSC_00202	S. aureus NCTC8325	SAOUHSC_00202	3920358	DUF488
S68	S. aureus NCTC8325	S68		
SAOUHSC_00203	S. aureus NCTC8325	SAOUHSC_00203	3920359	DUF5325
SAOUHSC_00204	S. aureus NCTC8325	SAOUHSC_00204	3920360	FAD_binding_6
SAOUHSC_00205	S. aureus NCTC8325	SAOUHSC_00205	3920361	
S69	S. aureus NCTC8325	S69		
SAOUHSC_00206	S. aureus NCTC8325	SAOUHSC_00206	3920362	Ldh_1_C
S70	S. aureus NCTC8325	S70		
SAOUHSC_00208	S. aureus NCTC8325	SAOUHSC_00208	3920363	
SAOUHSC_00209	S. aureus NCTC8325	SAOUHSC_00209	3920364	PTS_EIIC
S71	S. aureus NCTC8325	S71		
S72	S. aureus NCTC8325	S72		
SAOUHSC_00211	S. aureus NCTC8325	SAOUHSC_00211	3920365	IU_nuc_hydro
SAOUHSC_00212	S. aureus NCTC8325	SAOUHSC_00212	3920366	
SAOUHSC_00213	S. aureus NCTC8325	SAOUHSC_00213	3920289	PRD
SAOUHSC_00214	S. aureus NCTC8325	SAOUHSC_00214	3920290	PTS_EIIA_2
SAOUHSC_00215	S. aureus NCTC8325	SAOUHSC_00215	3920291	PTS_IIB
SAOUHSC_00216	S. aureus NCTC8325	SAOUHSC_00216	3920292	EIIC-GAT
SAOUHSC_00217	S. aureus NCTC8325	SAOUHSC_00217	3920293	ADH_N
SAOUHSC_00218	S. aureus NCTC8325	SAOUHSC_00218	3920294	
SAOUHSC_00219	S. aureus NCTC8325	SAOUHSC_00219	3920295	ADH_N
S73	S. aureus NCTC8325	S73		
SAOUHSC_00220	S. aureus NCTC8325	SAOUHSC_00220	3920296	IspD
SAOUHSC_00221	S. aureus NCTC8325	SAOUHSC_00221	3920297	ADH_N
SAOUHSC_A00219	S. aureus NCTC8325	SAOUHSC_A00219	3921321	
S74	S. aureus NCTC8325	S74		
SAOUHSC_00222	S. aureus NCTC8325	SAOUHSC_00222	3920298	Glyphos_transf
S75	S. aureus NCTC8325	S75		
S76	S. aureus NCTC8325	S76		
SAOUHSC_00223	S. aureus NCTC8325	SAOUHSC_00223	3920299	Glyphos_transf
S77	S. aureus NCTC8325	S77		
S78	S. aureus NCTC8325	S78		
SAOUHSC_00225	S. aureus NCTC8325	ispD	3920300	IspD
SAOUHSC_00226	S. aureus NCTC8325	SAOUHSC_00226	3920301	ADH_zinc_N
SAOUHSC_00227	S. aureus NCTC8325	SAOUHSC_00227	3920302	Glyphos_transf
SAOUHSC_00228	S. aureus NCTC8325	SAOUHSC_00228	3920303	Glycos_transf_2
SAOUHSC_00229	S. aureus NCTC8325	SAOUHSC_00229	3920304	ScdA_N
SAOUHSC_00230	S. aureus NCTC8325	SAOUHSC_00230	3920305	5TM-5TMR_LYT
SAOUHSC_00231	S. aureus NCTC8325	SAOUHSC_00231	3920306	LytTR
SAOUHSC_00232	S. aureus NCTC8325	SAOUHSC_00232	3920307	LrgA
SAOUHSC_00233	S. aureus NCTC8325	SAOUHSC_00233	3920308	LrgB
SAOUHSC_00234	S. aureus NCTC8325	SAOUHSC_00234	3919254	UTRA
SAOUHSC_00235	S. aureus NCTC8325	SAOUHSC_00235	3919255	PTS_EIIA_1
SAOUHSC_00236	S. aureus NCTC8325	SAOUHSC_00236	3919256	Glyco_hydro_1
S79	S. aureus NCTC8325	S79		
SAOUHSC_00237	S. aureus NCTC8325	SAOUHSC_00237	3919257	Methyltransf_25
SAOUHSC_00238	S. aureus NCTC8325	SAOUHSC_00238	3919258	
SAOUHSC_00239	S. aureus NCTC8325	SAOUHSC_00239	3919259	PfkB
SAOUHSC_00240	S. aureus NCTC8325	SAOUHSC_00240	3919260	RbsD_FucU
SAOUHSC_00241	S. aureus NCTC8325	SAOUHSC_00241	3919261	Sugar_transport
SAOUHSC_00242	S. aureus NCTC8325	SAOUHSC_00242	3919262	Peripla_BP_3
SAOUHSC_00243	S. aureus NCTC8325	SAOUHSC_00243	3919263	
SAOUHSC_00244	S. aureus NCTC8325	SAOUHSC_00244	3919264	
SAOUHSC_00245	S. aureus NCTC8325	SAOUHSC_00245	3919265	DUF772
S80	S. aureus NCTC8325	S80		
SAOUHSC_00246	S. aureus NCTC8325	SAOUHSC_00246	3919266	MFS_1
S81	S. aureus NCTC8325	S81		
S82	S. aureus NCTC8325	S82		
SAOUHSC_00247	S. aureus NCTC8325	SAOUHSC_00247	3919267	CBAH
S83	S. aureus NCTC8325	S83		
SAOUHSC_00248	S. aureus NCTC8325	SAOUHSC_00248	3919268	Peptidase_M23
SAOUHSC_00249	S. aureus NCTC8325	SAOUHSC_00249	3919269	ABC_tran
SAOUHSC_00250	S. aureus NCTC8325	SAOUHSC_00250	3919270	ABC2_membrane_3
SAOUHSC_00251	S. aureus NCTC8325	SAOUHSC_00251	3919271	ABC2_membrane_3
SAOUHSC_00253	S. aureus NCTC8325	SAOUHSC_00253	3919272	PTCB-BRCT
SAOUHSC_00254	S. aureus NCTC8325	SAOUHSC_00254	3919196	DUF5079
SAOUHSC_00255	S. aureus NCTC8325	SAOUHSC_00255	3919197	DUF5080
SAOUHSC_00256	S. aureus NCTC8325	SAOUHSC_00256	3919198	CHAP
S84	S. aureus NCTC8325	S84		
SAOUHSC_00257	S. aureus NCTC8325	SAOUHSC_00257	3919199	WXG100
SAOUHSC_00258	S. aureus NCTC8325	SAOUHSC_00258	3919200	DUF3149
SAOUHSC_00259	S. aureus NCTC8325	SAOUHSC_00259	3919201	EssA
SAOUHSC_00260	S. aureus NCTC8325	SAOUHSC_00260	3919202	YukD
SAOUHSC_00261	S. aureus NCTC8325	SAOUHSC_00261	3919203	YukC
SAOUHSC_00262	S. aureus NCTC8325	SAOUHSC_00262	3919204	FtsK_SpoIIIE
SAOUHSC_00264	S. aureus NCTC8325	SAOUHSC_00264	3919205	DUF745
SAOUHSC_00265	S. aureus NCTC8325	SAOUHSC_00265	3919206	WXG100
SAOUHSC_00266	S. aureus NCTC8325	SAOUHSC_00266	3919207	DUF5081
SAOUHSC_00267	S. aureus NCTC8325	SAOUHSC_00267	3919208	Dynactin_p22
SAOUHSC_00268	S. aureus NCTC8325	SAOUHSC_00268	3919209	Endonuclea_NS_2
SAOUHSC_00269	S. aureus NCTC8325	SAOUHSC_00269	3919210	DUF600
SAOUHSC_00270	S. aureus NCTC8325	SAOUHSC_00270	3919211	DUF5079
SAOUHSC_00271	S. aureus NCTC8325	SAOUHSC_00271	3919212	DUF5080
S85	S. aureus NCTC8325	S85		
SAOUHSC_00272	S. aureus NCTC8325	SAOUHSC_00272	3919213	DUF4293
SAOUHSC_00274	S. aureus NCTC8325	SAOUHSC_00274	3919214	DUF600
SAOUHSC_00275	S. aureus NCTC8325	SAOUHSC_00275	3919215	DUF600
SAOUHSC_00276	S. aureus NCTC8325	SAOUHSC_00276	3918960	DUF600
SAOUHSC_00277	S. aureus NCTC8325	SAOUHSC_00277	3918961	DUF600
SAOUHSC_00278	S. aureus NCTC8325	SAOUHSC_00278	3918962	DUF600
S86	S. aureus NCTC8325	S86		
SAOUHSC_00279	S. aureus NCTC8325	SAOUHSC_00279	3918963	DUF4467
S87	S. aureus NCTC8325	S87		
SAOUHSC_00280	S. aureus NCTC8325	SAOUHSC_00280	3918964	DUF4064
S88	S. aureus NCTC8325	S88		
SAOUHSC_00281	S. aureus NCTC8325	SAOUHSC_00281	3918965	Form_Nir_trans
SAOUHSC_00282	S. aureus NCTC8325	SAOUHSC_00282	3918966	Branch_AA_trans
S89	S. aureus NCTC8325	S89		
SAOUHSC_00284	S. aureus NCTC8325	SAOUHSC_00284	3918967	Acid_phosphat_B
SAOUHSC_A00283	S. aureus NCTC8325	SAOUHSC_A00283	3921675	PspC
S90	S. aureus NCTC8325	S90		
SAOUHSC_00285	S. aureus NCTC8325	SAOUHSC_00285	3918968	FtsX
SAOUHSC_00287	S. aureus NCTC8325	SAOUHSC_00287	3918969	ABC_tran
S91	S. aureus NCTC8325	S91		
SAOUHSC_00289	S. aureus NCTC8325	SAOUHSC_00289	3918970	
